datetime,temperature_2m (°C),apparent_temperature (°C),relative_humidity_2m (%),dew_point_2m (°C),cloud_cover (%),wind_speed_10m (km/h),wind_gusts_10m (km/h),surface_pressure (hPa),precipitation (mm),rain (mm),et0_fao_evapotranspiration (mm),data_source,timestamp,hour,day_of_week,month,is_weekend,is_summer,is_monsoon,is_winter,is_morning_peak,is_evening_peak,is_peak_hour,shortwave_radiation,wet_bulb_temperature_2m,direct_radiation,diffuse_radiation,cloud_cover_total,cloud_cover_low,cloud_cover_mid,cloud_cover_high,wind_direction_10m,wind_direction_100m,is_diwali_period,is_major_festival,is_national_holiday,is_religious_festival,festival_intensity,pre_festival_day,post_festival_day,festival_type,is_political_event,is_pollution_emergency,is_stubble_burning_period,is_odd_even_scheme,festival_season,solar_generation_mw,solar_irradiance_ghi_wm2,solar_irradiance_dni_wm2,solar_direct_radiation_wm2,solar_diffuse_radiation_wm2,solar_capacity_factor_percent,net_load_mw,solar_penetration_percent,net_load_ramp_rate_mw_per_hour,duck_curve_depth_mw,evening_ramp_stress,duck_severity_factor,solar_capacity_factor,delhi_load,brpl_load,bypl_load,ndpl_load,ndmc_load,mes_load,heat_stress_index,delhi_morning_peak,delhi_evening_peak
2022-07-25 00:00:00,27.6,32.0,85.0,24.9,52.0,15.5,25.2,977.6,0.0,0.0,0.03,simulation_realistic,2022-07-25 00:00:00,0,0,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.72711,0.0,0.0,86.0,97.0,29.0,1.0,93.99084,96.340096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,1.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,12.734588587198273,10985.01,0.0,0.0,3430.0999999999995,0.0,0.0,0.0,5518.96,2384.86,1253.93,1606.76,191.08,29.42,0.0,0,0
2022-07-25 01:00:00,27.5,31.8,85.0,24.8,50.0,16.1,26.3,977.8,0.0,0.0,0.03,simulation_realistic,2022-07-25 01:00:00,1,0,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,24.999546,1.0,16.0,100.0,100.0,31.0,4.0,105.78082,105.52418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,1.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,12.734588587198273,10304.02,0.0,-680.9899999999998,3430.0999999999995,0.0,0.0,0.0,5176.52,2216.24,1187.61,1517.31,177.33,29.01,0.0,0,0
2022-07-25 02:00:00,27.3,31.7,86.0,24.8,29.0,15.2,26.3,977.3,0.0,0.0,0.02,simulation_realistic,2022-07-25 02:00:00,2,0,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,59.0,24.888416,2.0,57.0,84.0,62.0,63.0,7.0,112.24908,112.24908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,1.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,12.734588587198273,9690.48,0.0,-613.5400000000009,3430.0999999999995,0.0,0.0,0.0,4868.34,2086.45,1111.61,1426.07,169.62,28.39,0.0,0,0
2022-07-25 03:00:00,26.2,30.4,90.0,24.5,100.0,14.8,26.6,977.7,4.2,4.2,0.01,simulation_realistic,2022-07-25 03:00:00,3,0,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,229.0,25.063961,72.0,157.0,43.0,35.0,13.0,1.0,112.69383,112.56705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,1.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,12.734588587198273,9112.65,0.0,-577.8299999999999,3430.0999999999995,0.0,0.0,0.0,4576.95,1964.59,1028.29,1349.05,165.86,27.91,0.0,0,0
2022-07-25 04:00:00,25.5,29.5,93.0,24.3,99.0,16.2,24.8,977.0,4.2,4.2,0.01,simulation_realistic,2022-07-25 04:00:00,4,0,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,435.0,25.444305,217.0,218.0,38.0,28.0,14.0,0.0,120.67721,119.89881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,1.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,12.734588587198273,8670.52,0.0,-442.1299999999992,3430.0999999999995,0.0,0.0,0.0,4354.93,1860.67,979.98,1286.35,161.49,27.1,0.0,0,0
2022-07-25 05:00:00,25.7,30.1,93.0,24.4,91.0,13.2,27.7,976.8,0.0,0.0,0.0,simulation_realistic,2022-07-25 05:00:00,5,0,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,604.0,25.919117,353.0,251.0,31.0,24.0,15.0,0.0,121.60746,121.701385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,1.0,0.0,0.0,0.0,none,0.0,0.0,0.0,0.0,0.0,12.734588587198273,8416.970000000001,0.0,-253.54999999999927,3430.0999999999995,0.0,0.0,0.0,4228.6,1820.09,934.62,1245.37,160.53,27.76,0.0,0,0
2022-07-25 06:00:00,25.7,30.0,93.0,24.5,100.0,14.1,22.3,977.0,0.0,0.0,0.0,simulation_realistic,2022-07-25 06:00:00,6,0,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,677.0,26.205336,422.0,255.0,29.0,16.0,16.0,0.0,118.85556,119.05451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,1.0,0.0,0.0,0.0,none,12.93,14.0,8.3,1.0,13.0,12.734588587198273,8167.42,0.3415565787283951,-249.5500000000011,3430.0999999999995,0.0,0.0,0.0085685884691848,4103.14,1768.8,910.72,1193.52,161.7,29.54,0.0,1,0
2022-07-25 07:00:00,25.8,29.8,92.0,24.4,86.0,15.5,29.2,977.3,0.2,0.2,0.01,simulation_realistic,2022-07-25 07:00:00,7,0,7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,688.0,26.167479,446.0,242.0,31.0,21.0,16.0,0.0,117.47435,117.61294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,1.0,0.0,0.0,0.0,none,55.41,60.0,10.8,3.0,57.0,12.734588587198273,8175.819999999999,1.263579892181813,8.399999999998727,3430.0999999999995,0.0,0.0,0.0367196819085487,4104.82,1752.71,919.12,1191.53,177.03,30.61,0.0,1,0
2022-07-25 08:00:00,26.4,30.3,89.0,24.5,100.0,17.2,29.5,978.4,0.5,0.5,0.04,simulation_realistic,2022-07-25 08:00:00,8,0,7,0.0,0.0,1.0,0.0,1.0,0.0,1.0,760.0,26.380638,500.0,260.0,25.0,23.0,9.0,1.0,120.01828,119.953514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,1.0,0.0,0.0,0.0,none,155.005,242.0,157.1,76.0,166.0,12.734588587198273,8152.799999999999,4.359793685721866,-23.019999999999527,3430.0999999999995,0.0,0.0,0.148104705102717,4098.09,1718.57,909.98,1194.24,198.53,33.39,0.0,1,0
2022-07-25 09:00:00,26.4,30.3,89.0,24.4,84.0,17.1,31.3,978.7,1.4,1.4,0.07,simulation_realistic,2022-07-25 09:00:00,9,0,7,0.0,0.0,1.0,0.0,1.0,0.0,1.0,687.0,26.332981,435.0,252.0,31.0,24.0,11.0,0.0,114.94388,115.301346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,1.0,0.0,0.0,0.0,none,254.6,428.0,310.8,208.0,220.0,12.734588587198273,8381.25,7.396622996038392,228.4500000000008,3430.0999999999995,0.0,0.0,0.2619350563286945,4211.96,1789.87,890.78,1201.42,248.69,38.53,0.0,1,0
